id,origin,title,author,description
3708,Canadian,Private View,Jean McNeil,"Ghosts, real and imaginary, haunt the pages of Jean McNeil's new novel, set in the lofts and galleries of the contemporary London art world.A catastrophic ..."
3709,Canadian,Privilege,Jason Patrick Rothery,"A CUTTING SATIRE CONCERNING THE DEATH SPIRAL OF THE WHITE, MALE IDENTITY With his divorce nearly finalized, the surprise success of his first book on the wane, ..."
3710,Canadian,Priya's World,Tara Nanayakkara,"At twenty-five, Priya a kindergarten teacher must accept the loss of her parents in a plane crash. Her grief plunges her into an eating disorder. While her ..."
3711,Canadian,Probably Ruby,Lisa Bird-Wilson,"Relinquished as an infant, Ruby is placed in a foster home and finally adopted by Alice and Mel, a less-than-desirable couple who can't afford to complain too ..."
3712,Canadian,"Prodigal Spy, The",Jason Connor,"Ryan Davis, a brilliant graduate student and languages scholar, is forced to learn a deadly new vocabulary when an attempted kidnapping shatters his quiet ..."
3713,Canadian,Professor Challenger,J. R. Campbell,"A uniquely original anthology... ""Science seeks knowledge! Let the knowledge lead us where it will, we still must seek it! To know once and for all what we ..."
3714,Canadian,Progress,Michael V. Smith,"In the lonely years following the death of her fiance, Helen is unable to move on with her life. But life itself is moving on around her ó literally: the ..."
3715,Canadian,Prologue to Love,Martha Ostenso,What if the children of star-crossed lovers actually dealt with their families' troubles? Autumn Dean unexpectedly returns home from Europe to her father's ...
3716,Canadian,Promised Land- A Novel of Cape Breton,Bill Conall,"Awarded the 2014 Stephen Leacock Memorial Medal For Humour, The Promised Land skillfully and hilariously navigates the ebb and flow of island life on Cape ..."
3717,Canadian,Promise from a Cowboy,C.J. Carmichael,"A Cowboy with Something to Hide?On the rodeo circuit, B. J. Lambert had plenty of chances to forget about his first love. Back in Coffee Creek, it's ..."
3718,Canadian,Promise Pending,Gail MacMillan,"When Vanessa Walsh promises her editor, Teddi, that she will not become involved with the man to be interviewed fo the bachelor-of-the-month magazine column ..."
3719,Canadian,Promises to Keep,Patricia Sands,"The painful memories from her life back in Toronto will never be distant enough, but Katherine Price finds peace under the autumn sky in the South of ..."
3720,Canadian,Promises We Make,Pamela Yaye,Fast-track creative director Niveah Evans is too busy climbing the corporate ladder to think about love. But beneath that hard-driving facade is a woman ...
3721,Canadian,Proof I Was Here,Becky Blake,"What's the point of trying to leave a mark when everything disappears? This question is at the heart of Proof I Was Here, a novel that tells the picaresque ..."
3722,Canadian,Proof of Their Sin,Dani Collins,"A beautiful mistakePregnant. Lauren Bradley's heart stops?there's only one man who can be the father and it's not her late husband, the man everyone thinks is ..."
3723,Canadian,Property Values,Charles Demers,"The worlds of urban gentrification, overpriced real estate, and gang violence collide in this wry and sardonic crime novel by author and comedian Charles ..."
3724,Canadian,Prospect Avenue,Michael Januska,West meets East as bootleggers and cops tangle with opium smugglers and corrupt officials in a new kind of gang warfare.Prospect Avenue is nothing more than a ...
3725,Canadian,Protected by the Warrior,Barbara Phinney,"FOR HONOR'S SAKE ;When Clara became a midwife, she vowed to preserve life above all. She'll keep that vow, even if it means defying a Norman baron by hiding a ..."
3726,Canadian,Protective Measures,Maggie K. Black,"UNDERCOVER BODYGUARD ;After an attack at a military charity gala, navy commander Leo Darius learns someone wants to kill him?and kidnap his two daughters. And ..."
3727,Canadian,Proudflesh,Peggy Worrell,"In these stories, readers will not find heartwarming sentimentality, but mature literary prose with surprising twists and indeterminate endings, and women of ..."
3728,Canadian,"Proud Rancher, Precious Bundle",Donna Alward,"After a hard day's ranching, Wyatt Black wants to kick back with a cold beer. But when he steps onto his porch, he has unexpected company?his tiny abandoned ..."
3729,Canadian,Provider's Son,Lee Stringer,"Levi Conley has spent his life making a hard living off the water. Fishing defines who he is. But after being betrayed by his business partners, who are also ..."
3730,Canadian,Provisionally Yours,Antanas Sileika,"AS HEARD ON CBC'S THE NEXT CHAPTER WITH SHELAGH ROGERSAfter World War I and the collapse of Czarist Russia, former counterintelligence officer Justas Adamonis ..."
3731,Canadian,Provoked by Gilgamesh,Gilmour Walker,"This humorous and idiosyncratic tale - written in autobiographical style as a collection of letters - forms the unusual story of Gilmour Walker, a middle-aged ..."
3732,Canadian,"Proxy Bride, The",Terri Favro,"In Niagara of the 1960s, a mysterious proxy bride arrives from Italy to marry a candy shop owner with crime connections, only to fall in love with her proxy ..."
3733,Canadian,Psycho Babble and the Consternations of Life,Richard Marvin Grove,"Blurbs: ; ; ;50 Words ;Some would say Psycho Babble and the Consternations of Life is existential psyco babble written by a troubled mind. Others would say, even ..."
3734,Canadian,Psychology and Other Stories,C.P. Boyko,"""Boyko's stories boldly assert that the practice of psychology n along with its cousins, psychiatry, psychotherapy, and self-help n is a type of fiction O ..."
3735,Canadian,Psychomachia,Sanita Fejzic,"Psychomachia is a meditation on revenge, violence and transformation. It is the story of a mother for whom the painful past persists. It is also the story of a ..."
3736,Canadian,Ptarmaggedon,Karen Dudley,"Research scientist and amateur sleuth Robyn Devara is looking forward to a trip to the Yukon with her boyfriend, Kelt Roberson, when he tells about the bloody ..."
3737,Canadian,P-Town Murders,Jeffrey Round,"In a place that's ""òto die for', no one expects to die for real.  ;So muses undercover detective Bradford Fairfax after an anonymous caller tells him that ..."
3738,Canadian,Pucked,Helena Hunting,"With a famous NHL player for a stepbrother, Violet Hall is well acquainted with the playboy reputation of many a hockey star. She isn't interested in ..."
3739,Canadian,Pucked Over,Helena Hunting,"Lily LeBlanc isn't versed in the art of casual sex, but after seven years in an on-again, off-again relationship, she's definitely willing to give it a ..."
3740,Canadian,Pucked Up,Helena Hunting,"Miller ""Buck""ù Butterson has been banging his way through life ever since a puck to the face fixed his messed up front teeth. After five years in the NHL, ..."
3741,Canadian,Pugg's Portmanteau,DM Bryan,"When Pugg, dog to eighteenth-century printmaker William Hogarth, finds a leather portmanteau abandoned beneath his master's deathbed, the bereaved canine ..."
3742,Canadian,Pulpy and Midge,Jessica Westhead,"Brian Lembeck ""ì ""òPulpy' ""ì takes life slow and steady. He likes his office job, and he likes his gentle, figurine-collecting boss, Al. He even likes the ..."
3743,Canadian,Pulse,Lydia Kwa,"Pulse is a complex, riveting novel about love, death and the ties that bind.The story begins in the summer of 2007 in Torontoandrsquo;s Chinatown. Natalie is ..."
3744,Canadian,Pumpkin Eater,Jeffrey Round,"Private investigator Dan Sharp searches the seamy underbelly of the city for a brutal killer. Following an anonymous tip, missing persons investigator Dan ..."
3745,Canadian,"Pumpkin Murders, The",Judith Alguire,"Trevor and Margaret Rudley, proprietors of the Pleasant Inn, are looking forward to autumn at their bucolic Ontario cottage-country hotel, expecting only a ..."
3746,Canadian,Punishing Ugly Children,Darryl Joel Berger,"Disfigured inside and out, the characters in Punishing Ugly Children are ill-made for anything but the crooked paths they follow. By turns bleak and amusing, ..."
3747,Canadian,Punishment,Linden MacIntyre,"In Punishment, his first novel since completing his Long Stretch trilogy, Scotiabank Giller-winner Linden MacIntyre brings us a powerful exploration of ..."
3748,Canadian,Puppet/Mad River Road,Joy Fielding,"Two bestselling novels in one volume!Puppet Living a no-strings-attached life in glamorous Palm Beach, beautiful, steely-nerved criminal attorney Amanda ..."
3749,Canadian,Pursued by the Desert Prince,Dani Collins,"Draped in the desert prince's diamonds?  ;To ensure his sister's successful marriage, Kasim, Crown Prince of Zhamair, must stop Angelique Sauveterre's alleged ..."
3750,Canadian,Pushkin's Second Wife and Other Micronovels,Yuri Druzhnikov,"Short fiction from one of the great contemporary Russian writers. ;In this heartfelt collection of stories, life in Russia is vividly described?both before and ..."
3751,Canadian,Push & the Pull,Darryl Whetter,"Andrew Day embarks on a bicycle trip from Halifax to Kingston, his childhood home. As he goes, the dual narratives of Andrew's life emerge: the slow, painful ..."
3752,Canadian,Put on the Armour of Light,Catherine Macdonald,2016 Manitoba Book Awards' Michael Van Rooy Award for Genre Fiction ó WinnerSecrets are lurking behind the proper exteriors of Winnipeg's ...
3753,Canadian,Puzzle of Murders,Brandon Pitts,"When disinherited loser Sam Giltine catches pneumonia, stemming from depression he emerges from his feverish state completely changed. Believing his body to be ..."
3754,Canadian,Pyres,Derek Nikitas,"Punky Lucia Moberg turns sixteen in a week. She steals CDs from stores, argues with Mom, pines for the rebel boy next door. But adolescence ends fast in a mall ..."
3755,Canadian,"Pyx, The",John Buell,"When heroin-addicted call girl Elizabeth Lucy dies in a fall from a swanky penthouse terrace, homicide detective Henderson is assigned to the case. Was it ..."
3756,Canadian,Quantum Night,Robert J. Sawyer,"LONGLISTED FOR ;CANADA READS 20172017 AURORA AWARD FOR BEST NOVEL ;Robert J. Sawyer has proven himself to be ""a writer of boundless confidence and bold ..."
3757,Canadian,Quarry,Catherine Graham,"Set in southern Ontario during the 1980's, acclaimed poet Catherine Graham's debut novel is layered like the open-pit mine for which it is named. Only child, ..."
3758,Canadian,Quartet for the End of Time,Johanna Skibsrud,"The year is 1932, and America is roiling with unrest. Angry WWI veterans, embittered by the ruinous poverty inflicted by the Great Depression, join forces and, ..."
3759,Canadian,Queen Eleanor and Fair Rosamond,Margaret Oliphant,Queen Eleanor and Fair Rosamondóamong the most compelling and thought-provoking of Margaret Oliphant's works of short fictionótells the story of Mr. and ...
3760,Canadian,Queen of All the Nightbirds,Craig Wolf,"When the new girl in school falls for one of their own, Eric and his misfit friends think it's nothing shy of a miracle. She's everything any of them could ..."
3761,Canadian,Queen of Candesce,Karl Schroeder,"Venera Fanning was last seen falling into nothingness at the end of Sun of Suns.andnbspNow, in Queen of Candesce,andnbspVenera finds herself plunging through the ..."
3762,Canadian,Queen of Diamonds,Catherine Hunter,"Lorelei Good has a gift: she can relay messages from the afterlife, helping the bereaved speak with their departed loved ones. Of course, Lorelei's successful ..."
3763,Canadian,Queen of Hearts,Sheryl Wright,"Can love found on television become true love?  When the producers of the new TV reality show, Queen of Hearts, receive a last minute cancellation by one of ..."
3764,Canadian,Queen of Stars,Dave Duncan,"While discovering the truth behind his half-human, half-elven parentage, master swordsman Rigel not only defeated the horrific monsters of the Starlands, but ..."
3765,Canadian,Queen of the Sylphs,L. J. McDonald,"It was a dream come true. Solie had her own battler, a creature of almost infinite magic who could vaporize legions in the blink of an eye and would willingly ..."
3766,Canadian,Queen's Court,Edward O. Phillips,"Louise Bingham, recently widowed in her mid-sixties, decides to ""play the tape backwards""ù and move from Victoria to Montreal, returning to the city of her ..."
3767,Canadian,Queen Solomon,Tamara Faith Berger,The erotic awakening and mental disintegration of an intense young man who leaves home and enters the phantasm of Israel.It's just another boring summer for ...
3768,Canadian,Quickening,Terry Griggs,"Shortlisted for the Governor General's Award, these first short stories from Terry Griggs herald one of the most original voices to appear out of Canada in the ..."
3769,Canadian,Quiet Twin,Dan Vyleta,"Vienna under the Nazis. A string of murders throws the city into a state of anxiety. Anton Beer, a young doctor who has made a study of forensic psychology, is ..."
3770,Canadian,Quill of the Dove,Ian Thomas Shaw,"French journalist Marc Taragon is at the apex of his career in 2007. A tenacious idealist, Taragon has spent the last thirty years attempting to bring to ..."
3771,Canadian,Quintet,Douglas Arthur Brown,"Adrian, Rory, and Cameron. Three brothers, identical triplets, are summoned home by the death of their parents in a freak accident.  From Copenhagen, ..."
3772,Canadian,Quiver,Holly Luhning,"In sixteenth-century Hungary, Countess Elizabeth B√°thory tortured and killed over six hundred servant girls in order to bathe in their blood; she believed ..."
3773,Canadian,Quivering Land,Roewan Crowe,"Roewan Crowe's compelling and haunting literary debut, Quivering Land, is a rather queer Western, engaging with poetics and politics to reckon with the ..."
3774,Canadian,"QWERTY Institute, The",Angela Szczepaniak,Prepare to be alphabetized! Ever wonder what goes on in the secret lives of letters? Surely they don't just huddle quietly under the covers waiting to be read. ...
3775,Canadian,Race Against Time,Gail Anderson-Dargatz,"Small-town reporter Claire Abbott wakes from a nightmare, convinced a bomb will go off in the local school. And then, strangely enough, there really is a bomb ..."
3776,Canadian,Racing Hearts,Vicki Lewis Thompson,"She's plotted the courseCar chief Roni Kenway has a plan. She'll save her racing team and (hopefully) convince her crew chief, Judd Timmons, that she's the ..."
3777,Canadian,Racket,Lisa Moore,"In Racket, editor and acclaimed fiction writer Lisa Moore introduces us to ten of the most exciting new writers currently at work in Newfoundland. Featuring a ..."
3778,Canadian,Radiance,Shaena Lambert,"Later, when Daisy remembered that night, she could smell the scent of honeysuckle at the window and see the moon on the floorboards. But in her memories Keiko ..."
3779,Canadian,Radiant,Karina Sumner-Smith,"Xhea has no magic. Born without the power that everyone else takes for granted, Xhea is an outcast?no way to earn a living, buy food, or change the life that ..."
3780,Canadian,Radiant Shimmering Light,Sarah Selecky,"""In a world where success isn't just about money or self-actualization, but how many people watch you enjoy it on Instagram, Radiant Shimmering Light is ..."
3781,Canadian,Radicalized,Cory Doctorow,"FromNew York Times bestselling author Cory Doctorow,Radicalized is four urgent SF novellas of America's present and future within one bookTold through one of ..."
3782,Canadian,Radio Belly,Buffy Cram,"A formidable debut of nine surreally funny, politically astute and emotionally gripping stories. ;In the surreal world of Buffy Cram's stories, someone or ..."
3783,Canadian,Radius Islamicus,Julian Samuel,"Joseph, the tactician behind the Piccadilly Circus bombing, finds himself in a nursing home in Pierrefonds, Quebec. A visit from a long-lost former fellow cell ..."
3784,Canadian,Rag & Bone Man,Don Dickinson,A coming-of-age story about a Canadian hockey player set adrift in 1970s London who finds himself in the middle of one of the UK's most turbulent eras. Set in ...
3785,Canadian,Rage,John Mavin,"When our own darkness is mirrored in multi-faceted characters, do we look away in disgust or find the humanity within them and, by extension, ourselves? In his ..."
3786,Canadian,Ragged Chain,Vivian Meyer,"When fledgling private investigator Abby Faria heads to Peregrine Island in BC's magnificent Desolation Sound for a well-deserved vacation break, she finds ..."
3787,Canadian,Ragged Company,Richard Wagamese,"Four chronically homeless people""ìAmelia One Sky, Timber, Double Dick and Digger""ìseek refuge in a warm movie theatre when a severe Arctic Front descends on ..."
3788,Canadian,Ragged Islands,Don Hannah,"""Dark, nothing but darkness, thick and deep, and it wasn't home, she could sense that, it was somewhere else. Susan Ann was trying to think, trying to ..."
3789,Canadian,Ragged Lake,Ron Corbett," ;Gruesome murders, a northern secret, and a buried pastWhile working one afternoon on the Northern Divide, a young tree-marker makes a grisly discovery: in a ..."
3790,Canadian,Raincoast Chronicles 23,Peter A. Robson,"When the first edition of Raincoast Chronicles was produced by a couple of novice publishers in the unlikely location of Pender Harbour in 1972, it boldly ..."
3791,Canadian,Rain Falls Like Mercy,Jack Todd,"Set against the sweeping backdrop of World War II, Rain Falls Like Mercy is a gripping depiction of a family and a country touched by the grand violence of ..."
3792,Canadian,Raise You Twenty,Barry Callaghan,"This is the third volume of essays from Canada's Man of Letters, following the critically acclaimed Raise You Five and Raise You Ten. Novelist and poet Barry ..."
3793,Canadian,Raising Innocence,Shannon Mayer,"?My name is Rylee and I am a Tracker.""ùWhen children go missing, and the Humans have no leads, I?'m the one they call. I am their last hope in bringing home ..."
3794,Canadian,Raising Orion,Lesley Choyce,"Raising Orion tells the tale of an eccentric, timeless woman, Molly, a second-hand bookshop owner, and her childhood as the daughter of the last lighthouse ..."
3795,Canadian,"Rajapaksa Stories, The",Koom Kankesan,"President of Sri Lanka, conqueror of the Tamil Tigers, people's hero, Rajapaksa has it all... or does he? Rajapaksa has vanquished his enemies and acquired ..."
3796,Canadian,Ramya's Treasure,Pratap Reddy,Ramya immigrated to Canada from India with her husband about fifteen years ago. She typifies the first generation immigrant - a person who straddles two ...
3797,Canadian,Rancher to the Rescue,Barbara Phinney,"A Practical EngagementClare Walsh isn't too keen on marrying, but it's the only way for her to keep her family home""¶and custody of her two younger ..."
3798,Canadian,Rancher Wants a Wife,Kate Bridges,"A marriage to save them both? ;Among the responses Cassandra Hamilton receives to her advertizement as a mail-order bride, one stands out?Jack McColton's. The ..."
3799,Canadian,Random Acts of Vandalism,Patrick Blennerhassett,"A rookie novelist faces infamy and fortune when a young boy mimics the suicidal protagonist in his book. After close to five years covering trials, a court ..."
3800,Canadian,Random Passage,Bernice Morgan,"A new edition of Bernice Morgan's classic, best-selling family saga. Forced to flee England, the Andrews family books passage from Weymouth, England to ..."
3801,Canadian,Rapture of the Depths,Bettina Klix,"The poet William Blake once wrote, ""All that we saw was owing to your metaphysics.""ù Elusive, ingenuous, acerbic and sophisticated by turns, Bettina Klix, ..."
3802,Canadian,Rat Bohemia,Sarah Schulman,"First published in 1995, this award-winning novel, written from the epicentre of the AIDS crisis, is a bold, achingly honest story set in the ""rat bohemia"" of ..."
3803,Canadian,RATS NEST,Mat Laporte,"Mysterious and sometimes hallucinogenic, RATS NEST is a collection of short stories builds a narrative out of the complexity and dialectical uncertainty that ..."
3804,Canadian,Rats of Las Vegas,Lisa Pasold,"Millard Lacouvy is a short, plain, fiercely independent prodigy in the male world of poker. She learns her craft in Depression-era Vancouver and then graduates ..."
3805,Canadian,Ravenna Gets,Tony Burgess,"Tony Burgess has been experimenting with apocalypse fiction in numerous earlier works: the language/speech virus in 'Pontypool', the enigmatic small world in ..."
3806,Canadian,Raven's Cove,Jenna Ryan,"The reappearance of Rogan signaled she needed protection. They'd lived together for months in a safe house, her life in this mysterious detective's hands. Dark ..."
3807,Canadian,Ravenscrag,Alain Farah,"The writer Alain Farah is living in two time periods, and he feels out of place in both. At the opening of his story, we find ourselves at McGill in 1962 and ..."
3808,Canadian,Raven's Hollow,Jenna Ryan,Old secrets and a local legend force Sadie Bellam to put her trust in an easy-on-the-eyes detective in Raven's Hollow by Jenna Ryan ;Every small town has hidden ...
3809,Canadian,Ravensong - A Novel,Lee Maracle,"Set along the Pacific Northwest Coast in the 1950s, Ravensong tells the story of an urban Native community devastated by an influenza epidemic. Stacey, a ..."
3810,Canadian,Raw Bone,Scott Thornley,"On a cold morning in early spring, the body of a young woman is found trapped in the ice of Dundurn Bay. The next day at dawn, a homeless man discovers an ..."
3811,Canadian,Read and Buried,Eva Gates,"Librarian Lucy Richardson unearths a mysterious map dating back to the Civil War. But if she can't crack its code, she may end up read and buried.The Bodie ..."
3812,Canadian,Reading by Lightning,Joan Thomas,"Lily Piper and her family live in an ephemeral world, due to collapse any moment when the Lord comes to pluck His faithful from the drought-ravaged Prairie. ..."
3813,Canadian,Readopolis,Bertrand Laverdure,"From award-winning writer Bertrand Laverdure comes Readopolis, a novel translated by Oana Avasilichioaei.It's 2006 and down-and-out protagonist Ghislain works ..."
3814,Canadian,Real Gone,Jim Christy,"Real Gone turns the myth of the Sixties on its head. The protagonist may be a peripatetic young man on an intense search but he knows, intuitively, that the ..."
3815,Canadian,Really Dead,J.E. Forman,Murder isn't something that just happens on TV. Travel writer Ria Butler has to outsmart a killer on the set of a reality TV show. Ria is supposed to be ...
3816,Canadian,"Realm of Means, The",David Hull,"Philosophers contend with sex, death, Nazis, one another.Allen Smythe's first week on staff is not going well. He's been falsely accused of a crime (which he ..."
3817,Canadian,"Reantasy, Montreal",David Makin,"Reantasy. . .Montreal remembers, reminds and recounts various recollections, events, brief histories and trivia, as seen through the eyes of and experienced by ..."
3818,Canadian,Reaper's Gale,Steven Erikson,"A brutal, harrowing chapter of the Malazan Book of the Fallen from best selling author Steven EriksonAll is not well in the Letherii Empire. Rhulad Sengar, the ..."
3819,Canadian,"Rebecca, Born in the Maelstrom",Marie-Claire Blais,"With this astounding fourth novel in her ongoing series of contemporary masterpieces (These Festive Nights, Thunder and Light, Augustino and the Choir of ..."
3820,Canadian,Rebelion en la granja 2017,Ashis Gupta,"Broadly adapted from George Orwell's classic ""Animal Farm"", this book narrates the transformation of fairly happy, functional farm, taken over by a bunch of ..."
3821,Canadian,Receptionist Under Cover,C.J. Carmichael,One missing person. One handsome adventurer. And one big case of mistaken identity: the detective's. Because Nadine Kimble isn't actually a private ...
3822,Canadian,Recipe for a Perfect Wife,Karma Brown,"NO.1 NATIONAL BESTSELLER""Recipe for a Perfect Wife is a bold, intoxicating, page-turner. Karma Brown has long been a favorite of mine and this book is proof ..."
3823,Canadian,Recipes from The Red Planet,Meredith Quartermain,"Suppose fiction is a mansion of mirrors where narrative, setting and plot are characters, and suppose this castle is haunted by Martians constantly ..."
3824,Canadian,Reckoning,A. S. Penne,"In this collection of short stories, A.S. Penne scrutinizes the all too human desire to be understood and known by others before first understanding and ..."
3825,Canadian,Recuerdos de un amor,Catherine Spencer,"Era su esposa? s√≥lo de nombre.Se hab√≠a casado con ella, se hab√≠a acostado con ella y Maeve le hab√≠a dado un heredero? y eso era todo lo que quer√≠a. Hasta ..."
3826,Canadian,Red,Michael Nicoll Yahgulanaas,"An innovative graphic novel, Red is the epic tale of a Haida hero, his rage and his quest for retribution. ;Referencing a classic Haida oral narrative, this ..."
3827,Canadian,Red Coat Brigade,Vernon Oickle,"On a warm, beautiful sunny day in June 1782, the women and young children of the village of Chester come together to defend their still-fledgling settlement ..."
3828,Canadian,"Red Dog, Red Dog",Patrick Lane,"A National Bestseller and a Globe and Mail Best Book of the YearOne of the most powerful, gripping works of fiction to come out of Canada, Red Dog, Red Dog is ..."
3829,Canadian,"Red Dress, The",Paul Nicholas Mason,"Living in small-town Ontario in the 1970s offers little interest or consolation for Charlie Knowles, teenage son of an angry ""welfare queen"" single mother. ..."
3830,Canadian,Redemption,Yvonne Harris,"In this sweeping saga, Yvonne Harris tells the poignant stories of Robert and Alice, two young people who join the 1846 wagon train to cross North America on ..."
3831,Canadian,"Red Floor, The",Sheila Kindellan-Sheehan,"When eight-year-old Justin Henley, heir to the Henley fortune, drowns in the family pool while in the care of his father, anguish and a ferocious need for ..."
3832,Canadian,Red Fox,Charles G.D. Roberts,"The wily, intelligent Red Fox takes on the Canadian wilderness in this classic novel by Charles G. D. Roberts. He tangles with numerous foes, including bear, ..."
3833,Canadian,Red Girl Rat Boy,Cynthia Flood,A Quill and Quire Best Book of the YearA Globe and Mail Best Short Fiction TitleA National Post Best Short Fiction TitleA January Magazine Best Book of the Year ...
3834,Canadian,Red Jacket,Pamela Mordecai,"2015 Rogers Writers' Trust Fiction Prize 2015 ó Short-listedAs she comes into adulthood, Grace confronts the mystery of her own identity and the story of ..."
3835,Canadian,"Red Lodge, The",H.R. Wakefield,"Reading a ghost story on Christmas eve was once as much a part of traditional Christmas celebrations as turkey, eggnog, and Santa Claus.The Red Lodge is a ..."
3836,Canadian,Red Oblivion,Leslie Shimotakahara,Family secrets surface when two sisters travel to Hong Kong to care for their ill father.When Jill Lau receives an early morning phone call that her elderly ...
3837,Canadian,Redpatch,Sean Harris Oliver,This is the story of a Metis soldier fighting for Canada on the Western Front of Europe during World War I. Vancouver 1914: a young Indigenous man named ...
3838,Canadian,Red Planet Blues,Robert J. Sawyer,"Robert J. Sawyer, the author of such ""revelatory and though-provoking""* works as Triggers and the novels of the WWW trilogy, presents a noir mystery set on a ..."
3839,Canadian,Red Power,Brian Wright-McLeod,"At the request of tribal elders in a southern community, Billy and his Native Movement chapter are called in to assist community members caught in the middle ..."
3840,Canadian,Red Rooms,Cherie Dimaline,Red Rooms is a unique journey articulating the lives of the Native patrons of an urban hotel as seen through the eyes of the hotels cleaning lady. The ...
3841,Canadian,Red Rover,Liz Bugg,Thalia Spencer is missing. Is she in trouble or is she simply avoiding her family?When Thalia's conservative tycoon father confesses to private investigator ...
3842,Canadian,Red Snow,Michael Slade,"Amid a raging winter storm, a deranged killer¬øs team of mercenaries have cut Whistler Mountain off from the rest of the world. Bent on bloody revenge, ..."
3843,Canadian,Red Tide,Marc Turner,"Red Tide,the third volume in Marc Turner's The Chronicles of the Exile, followingWhen the Heavens Fall andDragon HuntersThe Augerans are coming. And their ..."
3844,Canadian,Red Wolf's Return,Mary J. Forbes,"First love?found.Meg McKee kept the peace in Sweet Creek as the no-nonsense chief of police. But to elusive Ethan Red Wolf, Meggie wasn't just the town's most ..."
3845,Canadian,"Red, Yellow, Green",Alejandro Saravia,"Traumatized by his past as a Bolivian soldier who, in a sudden coup d'etat, was forced to participate in atrocities, Alfredo flees to Montreal, haunted by the ..."
3846,Canadian,Reencuentro con el deseo,Jennifer Hayward,JENNIFER HAYWARDREENCUENTRO CON EL DESEOEl mundo de Angelina se tambaleó cuando Lorenzo Ricci irrumpió en su fiesta de compromiso exigiendole que ...
3847,Canadian,Re-Imaging the Sky,Newcomer Women,"These stories, poems, and one essay are the outpourings of women who spent time writing together at the Newcomer Women's Services (NEW), Toronto. In their ..."
3848,Canadian,"Rejoice, a Knife to the Heart",Steven Erikson,"A provocative, beautiful and visionary novel of first contact by New York Times bestselling author Steven Erikson. Imagine a First Contact without contact, and ..."
3849,Canadian,Relative Happiness,Lesley Crewe,"First released in 2005 as one of Vagrant Press's inaugural titles, Lesley Crewe's debut novel, Relative Happiness, garnered rave reviews. Lesley's writing is ..."
3850,Canadian,Relative Happiness (movie edition),Lesley Crewe,"Lexie Ivy loves her little house in Cape Breton, her big family, and the endless sea that surrounds her. She wouldn't trade her life for anything, but at ..."
3851,Canadian,Relay,Betsy Struthers,"The relay begins in a bar in the shadow hour between work and dinner, where The Romantic (who's looking for love) unknowingly passes the baton of ..."
3852,Canadian,Releasing the Hunter,Vivi Anna,"Forced together, the two battle demons?and each other ;All that's left of infamous demon hunter Ivy Strom's family is the brother who vanished three years ago. ..."
3853,Canadian,Relentless Pursuit,Anthony Dalton,"Canadian zoologist Gray Pendennis is pushing his limits. Desperate to find and protect a man-eating Royal Bengal tiger in a Bangladesh jungle, he is on a race ..."
3854,Canadian,Rememberer,Paul Hammond,"Part planner, part art book, Rememberer is full of inspiration and useful to boot! Packed with tools for the creative/disorganized, and featuring ..."
3855,Canadian,Remembering the Dead,Elizabeth J. Duncan,"In award-winning author Elizabeth J. Duncan's tenth Penny Brannigan mystery set in North Wales, Canadian amateur sleuth Penny Brannigan attends a dinner party ..."
3856,Canadian,"Remember Me, Cowboy",C.J. Carmichael,Corb Lambert is ready to marry Laurel Sheridan. She's pregnant with his baby?and Corb is the type of guy who will do the right thing. He just wishes that he ...
3857,Canadian,Remember Tokyo,Nick Wilkshire,"In Tokyo, Charlie Hillier discovers you can't always bank on the truth.Fresh off a harrowing experience in Russia, Charlie is keen to lay low, and his latest ..."
3858,Canadian,Remembrance,Alistair MacLeod,"From one of the most beloved storytellers of our time, Remembrance is the last published story by Alistair MacLeod, and a moving story of three generations of ..."
3859,Canadian,Report from Planet Midnight,Nalo Hopkinson,"Infused with feminist, Afro-Caribbean views of the science fiction and fantasy genres, this collection of offbeat and highly original works takes aim at race ..."
3860,Canadian,Reproduction,Ian Williams,"SHORTLISTED FOR THE SCOTIABANK GILLER PRIZEA hilarious, surprising and poignant love story about the way families are invented, told with the savvy of a Zadie ..."
3861,Canadian,Republic Of Dirt,Susan Juby,Prudence Burns is an overly idealistic Brooklyn girl who has inherited a derelict plot of land named Woefield Farm. Her motley crew of farm hands consists of ...
3862,Canadian,Republic of Nothing,Lesley Choyce,"Winner, Dartmouth Book AwardShortlisted, Atlantic Booksellers Choice AwardA small Canadian island declares its independence to the world and benign anarchy ..."
3863,Canadian,Requiem,Frances Itani,"Bin Okuma, a celebrated visual artist, has recently and quite suddenly lost his wife, Lena. He and his son, Greg, are left to deal with the shock. But Greg has ..."
3864,Canadian,Requiem for the Last Indian,Ashis Gupta,Unlikely love story of Rosie and Charlie
3865,Canadian,Rerouted,Daniel Bryant,"Expect the unexpected in Daniel Bryant's Rerouted, a collection of linked short stories in which myth, mirth and mayhem are never far away."
3866,Canadian,Rescue at Cedar Lake,Maggie K. Black,"A woman in jeopardy is snowbound with a killer in this suspenseful romance from Maggie K. Black, part of the True North Bodyguards series.Called in to work ..."
3867,Canadian,Rescued by his Christmas Angel,Cara Colter,Teacher Morgan McGuire is determined to embrace her newfound independence. Until one of her pupils needs her in ways she never expected. Soon Morgan's life ...
3868,Canadian,Rescued by the Millionaire,Cara Colter,Wanted: A second pair of hands! ;Daniel Riverton is handsome?and a confirmed bachelor. The only thing he finds more frightening than commitment? Children! ;When ...
